title,link,description,pubDate
"최상목, 2+2 통상 협의 참가 위해 방미…&quot;한미동맹 더 튼튼하게&quot;",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005533997,"한미 양국은 기존 재무장관회의에 통상 책임자까지 참가하는 '2+2 방식'의 회의를 진행하고, 트럼프 행정부의 <b>상호관세</b> 부과에 대해 논의할 예정입니다. 최 부총리는 현지시간 22일 오전 워싱턴DC 인근 덜레스... ",2025-04-23 12:42:00+09:00
미·중 무역 갈등 커지면 한국 경제도 직격탄,https://m.skyedaily.com/news_view.html?ID=270765,씨티 보고서는 △미국이 한국에 <b>상호 관세</b> 10%를 부과하고 미·중 간 100%가 넘는 <b>상호 관세</b>를 유지하는 경우 △미국이 한국에 <b>상호 관세</b> 25%를 부과하고 미·중 간 100%가 넘는 <b>상호 관세</b>를 유지하는 경우 △미국이 한국에 10... ,2025-04-23 12:42:00+09:00
그들이 기침만 하면… 삼전과 SK하닉 지배하는 '엔비디아 함수',https://www.thescoop.co.kr/news/articleView.html?idxno=305599,"도널드 트럼프 대통령이 <b>상호관세</b> 부과 소식을 발표한 다음날인 3일 엔비디아의 주가는 전 거래일 대비 7.81% 하락했습니다. 엔비디아의 주가 하락세는 4일(-7.36%)까지 이어졌죠. 그 결과, 엔비디아의 주가는 2일 110.... ",2025-04-23 12:41:00+09:00
"경기도, 반도체산업 위기 극복을 위한 소통의 장 마련",https://www.pointdaily.co.kr/news/articleView.html?idxno=243999,시군 및 소속 공공기관 등 반도체 분야 재직자들이 기관별로 정책이나 주요 현안 등을 공유하며 <b>상호</b>... 홍성호 경기도 반도체산업과장은 &quot;트럼프발 품목별 <b>관세</b> 부과 예고에 따른 반도체 분야 불확실성이 지속될 것으로... ,2025-04-23 12:36:00+09:00
"&quot;일본-필리핀, 이달 정상회담서 지소미아 조기 체결 조율&quot;(종합)",https://www.yna.co.kr/view/AKR20250423044651073?input=1195m,일본과 필리핀은 이번 정상회담에서 해상보안 기관의 합동 훈련 실시에도 합의하고 <b>상호</b> 군수지원 협정... 양국 정상은 미국의 <b>관세</b> 조치를 둘러싼 의견도 교환하고 반도체 인재 육성 추진에도 합의할 계획이라고... ,2025-04-23 12:34:00+09:00
"이차전지에 봄 오는 소리...전기차, 셀, 양극재 바닥 탈출 '신호' 나와 ...",http://www.hansbiz.co.kr/news/articleView.html?idxno=745572,이후 34%의 <b>상호관세</b>가 발효됐다가 중국이 보복관세를 부과하자 84%로 올리고 이후 다시 125%로 올렸다. 관세는 중첩되기 때문에 중국에 적용되는 관세율은 기존 20% 관세에 125%가 더해지면서 145%로 훌쩍 뛰었다.... ,2025-04-23 12:32:00+09:00
금융위원장 만난 블랙스톤 회장 “韓 진출 긍정적 고려”,http://www.fnnews.com/news/202504231228179415,김 위원장과 슈워츠먼 회장은 우선 미국 <b>상호관세</b> 부과와 상대 국가들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치면서 불확실성이 지속될 수 있다는 데 공감했다. 그럼에도... ,2025-04-23 12:31:00+09:00
[초점] &quot;車·철강 라이벌도 내 편으로&quot;…정의선式 글로벌 위기 타개법은...,https://www.financialpost.co.kr/news/articleView.html?idxno=224955,도널드 트럼프 미국 대통령이 촉발한 <b>관세</b> 전쟁으로 대외 불확실성이 극에 달하면서 국내 대기업들이... 이후 양사는 전기차 배터리 관련 기술 교류와 선행과제 수행 등을 이어오며 <b>상호</b> 이해도를 높인 끝에 지난 2023년... ,2025-04-23 12:28:00+09:00
"ESG 공시 일정 미뤄…금융위, 로드맵 재검토",https://magazine.hankyung.com/business/article/202504230271b,김소영 금융위 부위원장은 이날 서울 여의도 금융투자협회에서 'ESG 금융추진단 제5차 회의'를 개최하고 &quot;최근 <b>상호관세</b> 등 경제 전반의 불확실성이 상존하고 주요국에서 공시 수준 조정 움직임이 있는 만큼 이를 고려해... ,2025-04-23 12:20:00+09:00
이병기 전 청와대 비서실장 등 방중…외교부·싱크탱크 면담,https://www.news1.kr/world/northeast-asia/5762272,"궈관은 &quot;이병기 전 실장을 단장으로 하는 한국 대표단 일행이 싱크탱크를 방문해 한중 관계 발전, 트럼프의 <b>상호관세</b> 정책 하에서의 한중 무역 의제에 대해 교류했다&quot;고 설명했다. 차하얼학회는 &quot;양측은 양국이 지속해서... ",2025-04-23 12:19:00+09:00
